countrycode,countryname,currency,Region,incomegroup
MDV,Maldives,Maldivian rufiyaa,South Asia,Upper middle income
MEA,Middle East & North Africa,,,
MEX,Mexico,Mexican peso,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,U.S. dollar,East Asia & Pacific,Upper middle income
MIC,Middle income,,,
MKD,North Macedonia,Macedonian denar,Europe & Central Asia,Upper middle income
MLI,Mali,West African CFA franc,Sub-Saharan Africa,Low income
MLT,Malta,Euro,Middle East & North Africa,High income
MMR,Myanmar,Myanmar kyat,East Asia & Pacific,Lower middle income
MNA,Middle East & North Africa (excluding high income),,,
MNE,Montenegro,Euro,Europe & Central Asia,Upper middle income
MNG,Mongolia,Mongolian tugrik,East Asia & Pacific,Lower middle income
MNP,Northern Mariana Islands,U.S. dollar,East Asia & Pacific,High income
MOZ,Mozambique,New Mozambican metical,Sub-Saharan Africa,Low income
MRT,Mauritania,Mauritanian ouguiya,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,Mauritian rupee,Sub-Saharan Africa,Upper middle income
MWI,Malawi,Malawi kwacha,Sub-Saharan Africa,Low income
MYS,Malaysia,Malaysian ringgit,East Asia & Pacific,Upper middle income
NAC,North America,,,
NAM,Namibia,Namibian dollar,Sub-Saharan Africa,Upper middle income
NCL,New Caledonia,CFP franc,East Asia & Pacific,High income
NER,Niger,West African CFA franc,Sub-Saharan Africa,Low income
NGA,Nigeria,Nigerian naira,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,Nicaraguan gold cordoba,Latin America & Caribbean,Lower middle income
NLD,Netherlands,Euro,Europe & Central Asia,High income
NOR,Norway,Norwegian krone,Europe & Central Asia,High income
NPL,Nepal,Nepalese rupee,South Asia,Lower middle income
NRU,Nauru,Australian dollar,East Asia & Pacific,High income
NZL,New Zealand,New Zealand dollar,East Asia & Pacific,High income
OED,OECD members,,,
OMN,Oman,Omani rial,Middle East & North Africa,High income
OSS,Other small states,,,
PAK,Pakistan,Pakistani rupee,South Asia,Lower middle income
PAN,Panama,Panamanian balboa,Latin America & Caribbean,Upper middle income
PER,Peru,Peruvian new sol,Latin America & Caribbean,Upper middle income
PHL,Philippines,Philippine peso,East Asia & Pacific,Lower middle income
PLW,Palau,U.S. dollar,East Asia & Pacific,High income
PNG,Papua New Guinea,Papua New Guinea kina,East Asia & Pacific,Lower middle income
POL,Poland,Polish zloty,Europe & Central Asia,High income
PRE,Pre-demographic dividend,,,
PRI,Puerto Rico,U.S. dollar,Latin America & Caribbean,High income
PRK,Dem. People's Rep. Korea,Democratic People's Republic of Korean won,East Asia & Pacific,Low income
PRT,Portugal,Euro,Europe & Central Asia,High income
PRY,Paraguay,Paraguayan guarani,Latin America & Caribbean,Upper middle income
PSE,West Bank and Gaza,Israeli new shekel,Middle East & North Africa,Lower middle income
PSS,Pacific island small states,,,
PST,Post-demographic dividend,,,
PYF,French Polynesia,CFP franc,East Asia & Pacific,High income
QAT,Qatar,Qatari riyal,Middle East & North Africa,High income
ROU,Romania,New Romanian leu,Europe & Central Asia,Upper middle income
RUS,Russia,Russian ruble,Europe & Central Asia,Upper middle income
RWA,Rwanda,Rwandan franc,Sub-Saharan Africa,Low income
SAS,South Asia,,,
SAU,Saudi Arabia,Saudi Arabian riyal,Middle East & North Africa,High income
SDN,Sudan,Sudanese pound,Sub-Saharan Africa,Low income
SEN,Senegal,West African CFA franc,Sub-Saharan Africa,Lower middle income
SGP,Singapore,Singapore dollar,East Asia & Pacific,High income
SLB,Solomon Islands,Solomon Islands dollar,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,Sierra Leonean leone,Sub-Saharan Africa,Low income
SLV,El Salvador,U.S. dollar,Latin America & Caribbean,Lower middle income
SMR,San Marino,Euro,Europe & Central Asia,High income
SOM,Somalia,Somali shilling,Sub-Saharan Africa,Low income
SRB,Serbia,New Serbian dinar,Europe & Central Asia,Upper middle income
SSA,Sub-Saharan Africa (excluding high income),,,
SSD,South Sudan,South Sudanese Pound,Sub-Saharan Africa,Low income
SSF,Sub-Saharan Africa,,,
SST,Small states,,,
STP,São Tomé and Principe,São Tomé and Principe dobra,Sub-Saharan Africa,Lower middle income
SUR,Suriname,Suriname dollar,Latin America & Caribbean,Upper middle income
SVK,Slovak Republic,Euro,Europe & Central Asia,High income
SVN,Slovenia,Euro,Europe & Central Asia,High income
SWE,Sweden,Swedish krona,Europe & Central Asia,High income
SWZ,Eswatini,Swazi lilangeni,Sub-Saharan Africa,Lower middle income
SXM,Sint Maarten (Dutch part),Netherlands Antillean guilder,Latin America & Caribbean,High income
SYC,Seychelles,Seychelles rupee,Sub-Saharan Africa,High income
SYR,Syrian Arab Republic,Syrian pound,Middle East & North Africa,Low income
TCA,Turks and Caicos Islands,U.S. dollar,Latin America & Caribbean,High income
TCD,Chad,Central African CFA franc,Sub-Saharan Africa,Low income
TEA,East Asia & Pacific (IDA & IBRD),,,
TEC,Europe & Central Asia (IDA & IBRD),,,
TGO,Togo,West African CFA franc,Sub-Saharan Africa,Low income
THA,Thailand,Thai baht,East Asia & Pacific,Upper middle income
TJK,Tajikistan,Tajik somoni,Europe & Central Asia,Lower middle income
TKM,Turkmenistan,New Turkmen manat,Europe & Central Asia,Upper middle income
TLA,Latin America & Caribbean (IDA & IBRD),,,
TLS,Timor-Leste,U.S. dollar,East Asia & Pacific,Lower middle income
TMN,Middle East & North Africa (IDA & IBRD),,,
TON,Tonga,Tongan pa'anga,East Asia & Pacific,Upper middle income
TSA,South Asia (IDA & IBRD),,,
TSS,Sub-Saharan Africa (IDA & IBRD),,,
TTO,Trinidad and Tobago,Trinidad and Tobago dollar,Latin America & Caribbean,High income
TUN,Tunisia,Tunisian dinar,Middle East & North Africa,Lower middle income
TUR,Turkey,New Turkish lira,Europe & Central Asia,Upper middle income
TUV,Tuvalu,Australian dollar,East Asia & Pacific,Upper middle income
TZA,Tanzania,Tanzanian shilling,Sub-Saharan Africa,Lower middle income
UGA,Uganda,Ugandan shilling,Sub-Saharan Africa,Low income
UKR,Ukraine,Ukrainian hryvnia,Europe & Central Asia,Lower middle income
UMC,Upper middle income,,,
URY,Uruguay,Uruguayan peso,Latin America & Caribbean,High income
USA,United States,U.S. dollar,North America,High income
UZB,Uzbekistan,Uzbek som,Europe & Central Asia,Lower middle income
VCT,St. Vincent and the Grenadines,East Caribbean dollar,Latin America & Caribbean,Upper middle income
VEN,Venezuela,Venezuelan bolivar fuerte,Latin America & Caribbean,
VGB,British Virgin Islands,U.S. dollar,Latin America & Caribbean,High income
VIR,Virgin Islands,U.S. dollar,Latin America & Caribbean,High income
VNM,Vietnam,Vietnamese dong,East Asia & Pacific,Lower middle income
VUT,Vanuatu,Vanuatu vatu,East Asia & Pacific,Lower middle income
WLD,World,,,
WSM,Samoa,Samoan tala,East Asia & Pacific,Lower middle income
XKX,Kosovo,Euro,Europe & Central Asia,Upper middle income
YEM,Yemen,Yemeni rial,Middle East & North Africa,Low income
ZAF,South Africa,South African rand,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,New Zambian kwacha,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,Zimbabwean Dollar,Sub-Saharan Africa,Lower middle income
